probe_set,gene_id
Msa.1095.1.S1_at,Medtr3g435460.1
Msa.1097.1.S1_at,Medtr2g095420.1
Msa.1097.1.S1_at,Medtr2g095420.3
Msa.1097.1.S1_at,Medtr2g095420.5
Msa.1098.1.S1_at,Medtr8g105250.1
Msa.1104.1.S1_at,Medtr1g058100.4
Msa.1104.1.S1_at,Medtr1g058100.1
Msa.1104.1.S1_at,Medtr1g058100.3
Msa.1105.1.S1_at,Medtr2g018290.1
Msa.1108.1.S1_at,Medtr1g112250.1
Msa.1108.1.S1_at,Medtr1g112250.2
Msa.1110.1.S1_at,Medtr5g096150.1
Msa.1113.1.S1_at,Medtr4g115300.1
Msa.1114.1.S1_at,Medtr1g034360.1
Msa.1116.1.S1_at,Medtr8g102460.3
Msa.1116.1.S1_at,Medtr8g102460.1
Msa.1116.1.S1_at,Medtr8g102460.2
Msa.1120.1.S1_at,Medtr2g103150.1
Msa.1125.1.S1_at,Medtr5g082830.1
Msa.1132.1.S1_at,Medtr3g024510.1
Msa.1136.1.S1_at,Medtr5g015590.8
Msa.1136.1.S1_at,Medtr5g015590.6
Msa.1136.1.S1_at,Medtr5g015590.2
Msa.1136.1.S1_at,Medtr5g015590.7
Msa.1136.1.S1_at,Medtr5g015590.3
Msa.1136.1.S1_at,Medtr5g015590.5
Msa.1136.1.S1_at,Medtr5g015590.1
Msa.1136.1.S1_at,Medtr5g015590.4
Msa.1150.1.S1_at,Medtr4g131390.1
Msa.1157.1.S1_at,Medtr5g081150.1
Msa.1157.1.S1_at,Medtr5g081150.4
Msa.1157.1.S1_at,Medtr5g081150.2
Msa.1157.1.S1_at,Medtr5g081150.5
Msa.1157.1.S1_at,Medtr5g081150.3
Msa.1157.1.S1_at,Medtr5g081150.6
Msa.1158.1.S1_at,Medtr8g093730.1
Msa.1167.1.S1_at,Medtr7g053330.1
Msa.1170.1.S1_at,Medtr7g102700.2
Msa.1170.1.S1_at,Medtr7g102700.4
Msa.1170.1.S1_at,Medtr7g102700.3
Msa.1170.1.S1_at,Medtr7g102700.1
Msa.1172.1.S1_at,Medtr3g118150.1
Msa.1177.1.S1_at,Medtr1g018510.1
Msa.1178.1.S1_at,Medtr3g117270.3
Msa.1178.1.S1_at,Medtr3g117270.1
Msa.1179.1.S1_at,Medtr4g023500.1
Msa.1179.1.S1_at,Medtr4g023500.3
Msa.1182.1.S1_at,Medtr8g028120.1
Msa.1184.1.S1_at,Medtr8g027760.2
Msa.1184.1.S1_at,Medtr8g027760.1
Msa.1185.1.S1_at,Medtr8g075240.1
Msa.1191.1.S1_at,Medtr4g092640.1
Msa.1192.1.S1_at,Medtr1g098390.1
Msa.1194.1.S1_at,Medtr1g086810.1
Msa.1196.1.S1_at,Medtr1g093630.1
Msa.1197.1.S1_at,Medtr3g070100.1
Msa.1199.1.S1_at,Medtr3g111680.1
Msa.1200.1.S1_at,Medtr4g094730.1
Msa.1200.1.S1_at,Medtr4g094730.2
Msa.1201.1.S1_at,Medtr3g109330.1
Msa.1201.1.S1_at,Medtr3g109330.3
Msa.1202.1.S1_at,Medtr4g088170.1
Msa.1207.1.S1_at,Medtr4g102870.1
Msa.1208.1.S1_at,Medtr2g026685.1
Msa.1208.1.S1_at,Medtr2g026685.3
Msa.1208.1.S1_at,Medtr2g026685.2
Msa.1210.1.S1_at,Medtr4g128020.1
Msa.1211.1.S1_at,Medtr3g112490.1
Msa.1212.1.S1_at,Medtr8g099885.1
Msa.1218.1.S1_at,Medtr4g055270.1
Msa.1219.1.S1_at,Medtr7g086300.2
Msa.1219.1.S1_at,Medtr7g086300.1
Msa.1226.1.S1_at,Medtr8g020770.1
Msa.1231.1.S1_at,Medtr6g016640.1
Msa.1231.1.S1_at,Medtr6g016635.1
Msa.1231.1.S1_at,Medtr6g016650.1
Msa.1232.1.S1_at,Medtr7g080320.1
Msa.1237.1.S1_s_at,Medtr2g070150.1
Msa.1237.1.S1_s_at,Medtr2g070180.1
Msa.1239.1.S1_at,Medtr8g027985.1
Msa.1242.1.S1_at,Medtr8g023140.1
Msa.1243.1.S1_at,Medtr4g009880.1
Msa.1244.1.S1_at,Medtr3g461520.3
Msa.1244.1.S1_at,Medtr3g461520.1
Msa.1244.1.S1_at,Medtr3g461500.1
Msa.1244.1.S1_at,Medtr3g461520.2
Msa.1246.1.S1_at,Medtr7g103020.1
Msa.1249.1.S1_at,Medtr1g025430.1
Msa.1252.1.S1_at,Medtr4g012740.1
Msa.1254.1.S1_at,Medtr4g011230.1
Msa.1258.1.S1_at,Medtr2g082340.1
Msa.1262.1.S1_at,Medtr5g081910.2
Msa.1262.1.S1_at,Medtr5g081910.1
Msa.1266.1.S1_at,Medtr5g082620.1
Msa.1267.1.S1_at,Medtr4g129270.1
Msa.1270.1.S1_at,Medtr5g079880.1
Msa.1272.1.S1_at,Medtr8g031190.2
Msa.1273.1.S1_at,Medtr7g116870.1
Msa.1275.1.S1_at,Medtr2g042700.2
Msa.1275.1.S1_at,Medtr2g042700.1
Msa.1276.1.S1_at,Medtr7g108930.1
Msa.1277.1.S1_s_at,Medtr2g089970.1
Msa.1282.1.S1_at,Medtr8g076160.1
Msa.1285.1.S1_at,Medtr8g075240.1
Msa.1288.1.S1_at,Medtr2g028950.3
Msa.1288.1.S1_at,Medtr2g028950.1
Msa.1288.1.S1_at,Medtr2g028950.2
Msa.1292.1.S1_at,Medtr4g032680.3
Msa.1292.1.S1_at,Medtr4g032680.4
Msa.1292.1.S1_at,Medtr4g032680.1
Msa.1292.1.S1_at,Medtr4g032680.2
Msa.1294.1.S1_at,Medtr2g097350.1
Msa.1294.1.S1_at,Medtr2g097390.1
Msa.1294.1.S1_at,Medtr2g097310.1
Msa.1300.1.S1_at,Medtr2g072190.1
Msa.1300.1.S1_at,Medtr2g072190.2
Msa.1302.1.S1_at,Medtr4g015080.1
Msa.1304.1.S1_at,Medtr2g060830.1
Msa.1304.1.S1_at,Medtr2g060830.2
Msa.1305.1.S1_at,Medtr4g119410.1
Msa.1306.1.S1_at,Medtr3g105780.1
Msa.1309.1.S1_at,Medtr3g071550.1
Msa.1310.1.S1_at,Medtr1g094870.1
Msa.1311.1.S1_at,Medtr4g134090.1
Msa.1311.1.S1_at,Medtr4g134090.2
Msa.1312.1.S1_at,Medtr7g076940.1
Msa.1314.1.S1_at,Medtr4g083170.1
Msa.1315.1.S1_at,Medtr7g011060.2
Msa.1315.1.S1_at,Medtr7g011060.1
Msa.1319.1.S1_at,Medtr2g014030.1
Msa.1324.1.S1_at,Medtr3g024190.1
Msa.1324.1.S1_at,Medtr3g024170.1
Msa.1325.1.S1_at,Medtr7g052690.1
Msa.1331.1.S1_at,Medtr3g081180.3
Msa.1331.1.S1_at,Medtr3g081180.2
Msa.1331.1.S1_at,Medtr3g081180.1
Msa.1334.1.S1_at,Medtr5g062310.5
Msa.1334.1.S1_at,Medtr5g062310.2
Msa.1334.1.S1_at,Medtr5g062310.4
Msa.1334.1.S1_at,Medtr5g062310.1
Msa.1334.1.S1_at,Medtr5g062310.3
Msa.1336.1.S1_at,Medtr2g103960.1
Msa.1340.1.S1_at,Medtr1g069460.1
Msa.1342.1.S1_at,Medtr4g086510.1
Msa.1343.1.S1_at,Medtr1g012830.2
Msa.1343.1.S1_at,Medtr1g012830.1
Msa.1345.1.S1_at,Medtr5g017640.1
Msa.1345.1.S1_at,Medtr5g017640.2
Msa.1349.1.S1_at,Medtr4g131180.1
Msa.1349.1.S1_at,Medtr4g131180.2
Msa.1350.1.S1_at,Medtr3g091380.1
Msa.1351.1.S1_at,Medtr1g045490.1
Msa.1357.1.S1_at,Medtr6g012500.1
Msa.1363.1.S1_at,Medtr8g070830.2
Msa.1363.1.S1_at,Medtr8g070830.1
Msa.1365.1.S1_at,Medtr4g071130.1
Msa.1370.1.S1_at,Medtr3g077740.2
Msa.1370.1.S1_at,Medtr3g077740.1
Msa.1374.1.S1_at,Medtr2g009390.1
Msa.1376.1.S1_at,Medtr2g019260.1
Msa.1376.1.S1_at,Medtr2g019260.2
Msa.1380.1.S1_at,Medtr1g098280.1
Msa.1382.1.S1_at,Medtr8g083090.1
Msa.1383.1.S1_at,Medtr4g067150.1
Msa.1385.1.S1_at,Medtr4g130770.1
Msa.1386.1.S1_at,Medtr5g033300.1
Msa.1386.1.S1_at,Medtr5g033300.2
Msa.1388.1.S1_at,Medtr3g043750.1
Msa.1388.1.S1_at,Medtr3g043750.2
Msa.1389.1.S1_at,Medtr3g105550.1
Msa.1393.1.S1_at,Medtr7g083560.2
Msa.1393.1.S1_at,Medtr7g083560.1
Msa.1394.1.S1_at,Medtr8g015660.1
Msa.1396.1.S1_at,Medtr2g054370.1
Msa.1397.1.S1_at,Medtr4g109140.1
Msa.1398.1.S1_at,Medtr7g057720.1
Msa.1398.1.S1_at,Medtr7g057720.2
Msa.1404.1.S1_at,Medtr2g102670.1
Msa.1404.1.S1_at,Medtr2g102640.1
Msa.1407.1.S1_at,Medtr1g062200.2
Msa.1407.1.S1_at,Medtr1g062200.1
Msa.1412.1.S1_at,Medtr7g117565.2
Msa.1412.1.S1_at,Medtr7g117565.3
Msa.1412.1.S1_at,Medtr7g117565.1
Msa.1413.1.S1_at,Medtr2g044070.1
Msa.1413.1.S1_at,Medtr2g044070.2
Msa.1415.1.S1_at,Medtr3g108770.1
Msa.1415.1.S1_at,Medtr3g108770.2
Msa.1417.1.S1_at,Medtr3g118110.2
Msa.1417.1.S1_at,Medtr3g118110.1
Msa.1420.1.S1_at,Medtr3g104470.1
Msa.1424.1.S1_at,Medtr5g015370.1
Msa.1425.1.S1_at,Medtr1g086940.1
Msa.1430.1.S1_at,Medtr3g084980.1
Msa.1435.1.S1_at,Medtr3g103320.1
Msa.1439.1.S1_at,Medtr2g032130.1
Msa.1441.1.S1_at,Medtr4g117370.1
Msa.1445.1.S1_at,Medtr5g010150.1
Msa.1445.1.S1_at,Medtr5g010150.2
Msa.1448.1.S1_at,Medtr8g092590.1
Msa.1450.1.S1_at,Medtr1g115325.1
Msa.1451.1.S1_at,Medtr7g066120.1
Msa.1453.1.S1_at,Medtr5g007970.1
Msa.1465.1.S1_at,Medtr4g088090.1
Msa.1466.1.S1_at,Medtr2g013220.1
Msa.1468.1.S1_at,Medtr8g106960.1
Msa.1468.1.S1_at,Medtr8g106960.2
Msa.1469.1.S1_at,Medtr7g100110.1
Msa.1475.1.S1_at,Medtr8g012380.1
Msa.1479.1.S1_at,Medtr8g088390.2
Msa.1479.1.S1_at,Medtr8g088390.1
Msa.1482.1.S1_at,Medtr3g109972.1
Msa.1489.1.S1_at,Medtr4g087680.1
Msa.1492.1.S1_at,Medtr4g079780.1
Msa.1496.1.S1_at,Medtr8g088730.1
Msa.1497.1.S1_at,Medtr1g032160.1
Msa.1498.1.S1_at,Medtr1g021110.1
Msa.1501.1.S1_at,Medtr4g051120.1
Msa.1503.1.S1_at,Medtr1g018760.1
Msa.1506.1.S1_at,Medtr4g088495.1
Msa.1506.1.S1_at,Medtr4g088495.2
Msa.1509.1.S1_at,Medtr7g110000.1
Msa.1511.1.S1_at,Medtr4g114550.1
Msa.1513.1.S1_at,Medtr4g049830.1
Msa.1515.1.S1_at,Medtr8g098770.1
Msa.1520.1.S1_at,Medtr4g010180.1
Msa.1522.1.S1_at,Medtr5g015590.6
Msa.1522.1.S1_at,Medtr5g015590.2
Msa.1522.1.S1_at,Medtr5g015590.7
Msa.1522.1.S1_at,Medtr5g015590.3
Msa.1522.1.S1_at,Medtr5g015590.5
Msa.1522.1.S1_at,Medtr5g015590.8
Msa.1522.1.S1_at,Medtr5g015590.1
Msa.1522.1.S1_at,Medtr5g015590.4
Msa.1523.1.S1_at,Medtr2g018780.1
Msa.1526.1.S1_at,Medtr5g022310.1
Msa.1526.1.S1_at,Medtr5g022310.2
Msa.1527.1.S1_at,Medtr1g019930.1
Msa.1528.1.S1_at,Medtr3g087490.1
Msa.1530.1.S1_at,Medtr1g111090.1
Msa.1531.1.S1_at,Medtr1g008120.1
Msa.1534.1.S1_at,Medtr4g053290.1
Msa.1535.1.S1_at,Medtr1g016780.1
Msa.1536.1.S1_at,Medtr8g099410.1
Msa.1536.1.S1_at,Medtr8g099410.2
Msa.1543.1.S1_at,Medtr4g085090.1
Msa.1544.1.S1_at,Medtr2g048340.1
Msa.1545.1.S1_at,Medtr8g058330.1
Msa.1547.1.S1_at,Medtr4g118640.1
Msa.1547.1.S1_at,Medtr4g118640.3
Msa.1548.1.S1_at,Medtr1g054670.1
Msa.1549.1.S1_at,Medtr3g114120.1
Msa.1552.1.S1_at,Medtr5g026660.1
Msa.1553.1.S1_at,Medtr3g101660.2
Msa.1553.1.S1_at,Medtr3g101660.4
Msa.1553.1.S1_at,Medtr3g101660.3
Msa.1553.1.S1_at,Medtr3g101660.1
Msa.1554.1.S1_at,Medtr3g088525.1
Msa.1555.1.S1_at,Medtr5g087840.1
Msa.1555.1.S1_at,Medtr5g087840.3
Msa.1555.1.S1_at,Medtr5g087840.2
Msa.1556.1.S1_at,Medtr3g084740.1
Msa.1556.1.S1_at,Medtr3g084740.2
Msa.1566.1.S1_at,Medtr3g089005.1
Msa.1569.1.S1_at,Medtr5g030620.1
Msa.1569.1.S1_at,Medtr5g430730.1
Msa.1571.1.S1_at,Medtr1g104780.1
Msa.1579.1.S1_at,Medtr8g076770.1
Msa.1580.1.S1_at,Medtr1g053960.1
Msa.1588.1.S1_at,Medtr1g088420.1
Msa.1589.1.S1_at,Medtr8g107110.1
Msa.1590.1.S1_at,Medtr1g019430.1
Msa.1593.1.S1_at,Medtr2g081090.1
Msa.1593.1.S1_at,Medtr2g081090.2
Msa.1594.1.S1_at,Medtr7g116520.1
Msa.1594.1.S1_s_at,Medtr7g116520.1
Msa.1609.1.S1_at,Medtr2g008610.1
Msa.1611.1.S1_at,Medtr1g011880.1
Msa.1611.1.S1_at,Medtr1g011880.2
Msa.1619.1.S1_at,Medtr8g005175.1
Msa.1619.1.S1_at,Medtr8g005175.2
Msa.1622.1.S1_at,Medtr4g085590.1
Msa.1631.1.S1_at,Medtr7g405830.1
Msa.1631.1.S1_at,Medtr7g405830.2
Msa.1638.1.S1_at,Medtr7g108955.1
Msa.1643.1.S1_at,Medtr5g030920.2
Msa.1643.1.S1_at,Medtr5g030920.1
Msa.1647.1.S1_at,Medtr1g048000.1
Msa.1648.1.S1_at,Medtr7g089120.2
Msa.1648.1.S1_at,Medtr7g089120.3
Msa.1648.1.S1_at,Medtr7g089120.1
Msa.1661.1.S1_s_at,Medtr7g007220.1
Msa.1661.1.S1_s_at,Medtr7g007210.1
Msa.1661.1.S1_s_at,Medtr7g007200.1
Msa.1661.1.S1_s_at,Medtr7g007120.3
Msa.1665.1.S1_at,Medtr4g081130.1
Msa.1666.1.S1_at,Medtr8g469150.2
Msa.1666.1.S1_at,Medtr8g469150.1
Msa.1670.1.S1_at,Medtr4g014540.1
Msa.1689.1.S1_at,Medtr2g018780.1
Msa.1690.1.S1_at,Medtr4g066170.1
Msa.1692.1.S1_at,Medtr5g059210.1
Msa.1694.1.S1_at,Medtr8g070770.1
Msa.1696.1.S1_at,Medtr4g128930.1
Msa.1697.1.S1_at,Medtr3g100620.1
Msa.1699.1.S1_at,Medtr7g090330.1
Msa.1702.1.S1_at,Medtr5g076590.1
Msa.1707.1.S1_at,Medtr4g132110.1
Msa.1714.1.S1_at,Medtr3g466760.1
Msa.1716.1.S1_at,Medtr4g094662.1
Msa.1717.1.S1_at,Medtr4g009740.1
Msa.1717.1.S1_at,Medtr4g009740.3
Msa.1717.1.S1_at,Medtr4g009740.2
Msa.1724.1.S1_at,Medtr3g115930.1
Msa.1730.1.S1_at,Medtr4g051410.1
Msa.1733.1.S1_at,Medtr6g071070.1
Msa.1736.1.S1_at,Medtr2g034480.1
Msa.1739.1.S1_at,Medtr3g073140.1
Msa.1741.1.S1_at,Medtr8g073770.1
Msa.1741.1.S1_at,Medtr8g073850.1
Msa.1750.1.S1_at,Medtr1g017380.1
Msa.1750.1.S1_at,Medtr1g017390.1
Msa.1752.1.S1_s_at,Medtr4g097670.1
Msa.1752.1.S1_s_at,Medtr4g097700.1
Msa.1752.1.S1_s_at,Medtr4g097640.1
Msa.1754.1.S1_at,Medtr4g068520.1
Msa.1759.1.S1_at,Medtr0167s0060.2
Msa.1759.1.S1_at,Medtr0167s0060.1
Msa.1760.1.S1_at,Medtr4g019790.1
Msa.1761.1.S1_at,Medtr5g016510.1
Msa.1767.1.S1_s_at,Medtr2g041600.1
Msa.1767.1.S1_s_at,Medtr2g041600.2
Msa.1768.1.S1_at,Medtr3g450790.1
Msa.1771.1.S1_at,Medtr3g051310.1
Msa.1774.1.S1_at,Medtr8g087425.1
Msa.1775.1.S1_at,Medtr3g085510.1
Msa.1776.1.S1_at,Medtr4g078760.2
Msa.1776.1.S1_at,Medtr4g078760.1
Msa.1778.1.S1_s_at,Medtr2g099550.1
Msa.1782.1.S1_at,Medtr8g088060.1
Msa.1784.1.S1_at,Medtr8g078870.1
Msa.1788.1.S1_at,Medtr1g087910.1
Msa.1788.1.S1_at,Medtr1g087910.2
Msa.1790.1.S1_at,Medtr8g064590.2
Msa.1790.1.S1_at,Medtr8g064590.1
Msa.1791.1.S1_at,Medtr4g097580.1
Msa.1795.1.S1_at,Medtr4g094872.1
Msa.1796.1.S1_at,Medtr7g076200.2
Msa.1800.1.S1_at,Medtr3g096920.1
Msa.1800.1.S1_at,Medtr3g096920.2
Msa.1801.1.S1_at,Medtr4g094598.2
Msa.1801.1.S1_at,Medtr4g094598.1
Msa.1801.1.S1_at,Medtr1g105415.1
Msa.1804.1.S1_s_at,Medtr1g107535.1
Msa.1805.1.S1_at,Medtr4g088350.1
Msa.1806.1.S1_at,Medtr4g019610.2
Msa.1808.1.S1_at,Medtr8g100135.1
Msa.1808.1.S1_at,Medtr8g100135.2
Msa.1810.1.S1_at,Medtr4g081330.1
Msa.1814.1.S1_at,Medtr5g063670.1
Msa.1816.1.S1_at,Medtr4g061140.1
Msa.1816.1.S1_at,Medtr4g061140.4
Msa.1816.1.S1_at,Medtr4g061140.2
Msa.1816.1.S1_at,Medtr4g061140.3
Msa.1818.1.S1_at,Medtr1g085680.1
Msa.1825.1.S1_at,Medtr8g014560.2
Msa.1825.1.S1_at,Medtr8g014560.3
Msa.1825.1.S1_at,Medtr8g014560.5
Msa.1825.1.S1_at,Medtr8g014560.4
Msa.1825.1.S1_at,Medtr8g014560.6
Msa.1825.1.S1_at,Medtr8g014560.1
Msa.1825.1.S1_at,Medtr8g014560.7
Msa.1827.1.S1_at,Medtr7g021720.1
Msa.1827.1.S1_at,Medtr4g050950.1
Msa.1827.1.S1_at,Medtr4g006120.1
Msa.1830.1.S1_at,Medtr3g094970.2
Msa.1830.1.S1_at,Medtr3g094970.1
Msa.1835.1.S1_at,Medtr1g034360.1
Msa.1837.1.S1_at,Medtr4g077807.1
Msa.1838.1.S1_s_at,Medtr2g008610.1
Msa.1839.1.S1_at,Medtr4g046733.1
Msa.1839.1.S1_at,Medtr4g046733.2
Msa.1839.1.S1_at,Medtr4g046733.3
Msa.1841.1.S1_at,Medtr8g107640.1
Msa.1845.1.S1_at,Medtr1g025550.1
Msa.1851.1.S1_at,Medtr3g070100.1
Msa.1853.1.S1_at,Medtr8g023790.1
Msa.1861.1.S1_at,Medtr4g079780.1
Msa.1862.1.S1_at,Medtr8g006960.1
Msa.1866.1.S1_s_at,Medtr3g070210.1
Msa.1866.1.S1_s_at,Medtr3g070210.2
Msa.1866.1.S1_s_at,Medtr3g070210.4
Msa.1866.1.S1_s_at,Medtr3g070210.3
Msa.1867.1.S1_at,Medtr3g070210.1
Msa.1867.1.S1_at,Medtr3g070210.3
Msa.1867.1.S1_at,Medtr3g070210.4
Msa.1867.1.S1_at,Medtr3g070210.2
Msa.1869.1.S1_at,Medtr3g112410.1
Msa.1874.1.S1_at,Medtr5g034125.2
Msa.1874.1.S1_at,Medtr5g034125.1
Msa.1879.1.S1_s_at,Medtr5g097940.1
Msa.1879.1.S1_s_at,Medtr5g097910.1
Msa.1879.1.S1_s_at,Medtr5g097900.1
Msa.1882.1.S1_at,Medtr4g059400.1
Msa.1883.1.S1_at,Medtr4g129820.1
Msa.1884.1.S1_at,Medtr6g054890.1
Msa.1884.1.S1_at,Medtr6g054890.2
Msa.1886.1.S1_at,Medtr2g012450.1
Msa.1887.1.S1_at,Medtr8g098410.4
Msa.1887.1.S1_at,Medtr8g098410.5
Msa.1887.1.S1_at,Medtr8g098410.1
Msa.1887.1.S1_at,Medtr8g098410.2
Msa.1887.1.S1_at,Medtr8g098410.3
Msa.1891.1.S1_at,Medtr3g105550.1
Msa.1892.1.S1_at,Medtr5g030870.1
Msa.1899.1.S1_at,Medtr5g096460.1
Msa.1899.1.S1_at,Medtr5g096430.1
Msa.1909.1.S1_at,Medtr1g102870.1
Msa.1910.1.S1_at,Medtr2g066110.1
Msa.1911.1.S1_x_at,Medtr2g041070.2
Msa.1911.1.S1_x_at,Medtr2g041070.1
Msa.1913.1.S1_at,Medtr3g088040.1
Msa.1915.1.S1_at,Medtr5g098940.1
Msa.1917.1.S1_at,Medtr0055s0090.1
Msa.1917.1.S1_at,Medtr0052s0080.1
Msa.1920.1.S1_at,Medtr5g087790.1
Msa.1921.1.S1_at,Medtr4g117380.1
Msa.1923.1.S1_at,Medtr4g112970.1
Msa.1925.1.S1_at,Medtr2g098160.2
Msa.1925.1.S1_at,Medtr2g098160.1
Msa.1931.1.S1_at,Medtr2g078010.2
Msa.1931.1.S1_at,Medtr2g078010.3
Msa.1931.1.S1_at,Medtr2g078010.1
Msa.1931.1.S1_at,Medtr2g078010.4
Msa.1941.1.S1_at,Medtr7g068650.1
Msa.1943.1.S1_at,Medtr4g015570.1
Msa.1946.1.S1_at,Medtr0212s0040.1
Msa.1952.1.S1_at,Medtr4g073580.1
Msa.1952.1.S1_at,Medtr4g073580.2
Msa.1953.1.S1_at,Medtr4g093770.1
Msa.1953.1.S1_at,Medtr4g093770.2
Msa.1956.1.S1_at,Medtr2g091225.1
Msa.1956.1.S1_at,Medtr2g091225.2
Msa.1959.1.S1_at,Medtr4g127710.2
Msa.1959.1.S1_at,Medtr4g127710.1
Msa.1961.1.S1_s_at,Medtr6g037220.1
Msa.1961.1.S1_s_at,Medtr0583s0010.1
Msa.2088.1.S1_s_at,Medtr7g021690.1
