probe_set	gene_id	adjust_score	start	end
AFFX-Mtr-ubq11-5_x_at	Medtr8g018230.4	355	112	732
AFFX-Mtr-ubq11-5_x_at	Medtr8g018230.2	355	77	925
AFFX-Mtr-ubq11-5_x_at	Medtr8g018230.3	355	127	975
AFFX-Mtr-ubq11-5_x_at	Medtr8g018230.1	355	77	925
AFFX-Mtr-ubq11-5_x_at	Medtr8g018230.5	355	77	755
AFFX-Mtr-ubq11-M_x_at	Medtr4g091580.1	495	478	1067
Msa.1002.1.S1_at	Medtr8g058330.1	491	784	1181
Msa.1006.1.S1_at	Medtr7g109720.1	349	2018	2472
Msa.1007.1.S1_at	Medtr3g109090.3	447	527	964
Msa.1007.1.S1_at	Medtr3g109090.1	447	359	796
Msa.1007.1.S1_at	Medtr3g109090.2	447	635	1072
Msa.1009.1.S1_at	Medtr1g099310.1	358	743	1087
Msa.1010.1.S1_at	Medtr8g009970.1	397	599	1069
Msa.1011.1.S1_at	Medtr2g461560.1	445	2518	2987
Msa.1012.1.S1_at	Medtr2g035820.1	401	455	702
Msa.1013.1.S1_at	Medtr2g007150.2	356	2107	2659
Msa.1013.1.S1_at	Medtr2g007150.1	356	679	1231
Msa.1013.1.S1_at	Medtr2g007150.3	356	916	1468
Msa.1014.1.S1_at	Medtr8g059125.1	450	1787	2259
Msa.1016.1.S1_at	Medtr8g098525.2	398	1946	2300
Msa.1016.1.S1_at	Medtr8g098525.1	398	1758	2112
Msa.1020.1.S1_at	Medtr2g045490.1	399	81	652
Msa.1020.1.S1_at	Medtr2g045490.3	399	81	652
Msa.1020.1.S1_at	Medtr2g045490.2	399	63	634
Msa.1023.1.S1_at	Medtr1g096410.3	399	3046	3441
Msa.1023.1.S1_at	Medtr1g096410.1	399	1667	2062
Msa.1023.1.S1_at	Medtr1g096410.4	354	3046	3544
Msa.1023.1.S1_at	Medtr1g096410.2	354	1667	2165
Msa.1026.1.S1_at	Medtr6g084920.1	356	257	537
Msa.1031.1.S1_at	Medtr5g013340.1	400	134	658
Msa.1031.1.S1_at	Medtr5g013340.2	400	80	604
Msa.1032.1.S1_at	Medtr4g485520.1	353	655	1161
Msa.1032.1.S1_at	Medtr4g485520.2	353	692	1198
Msa.1035.1.S1_at	Medtr5g027010.1	356	9	473
Msa.1037.1.S1_at	Medtr2g095880.1	354	853	1320
Msa.1037.1.S1_at	Medtr2g095880.2	354	853	1830
Msa.1042.1.S1_at	Medtr7g082530.2	399	1251	1703
Msa.1042.1.S1_at	Medtr7g082530.1	399	1251	1703
Msa.1044.1.S1_at	Medtr0082s0040.1	447	257	658
Msa.1049.1.S1_at	Medtr5g008890.1	358	91	610
Msa.1051.1.S1_at	Medtr7g076900.1	403	2485	3030
Msa.1055.1.S1_at	Medtr0082s0090.1	356	383	727
Msa.1056.1.S1_at	Medtr7g078700.1	441	1	460
Msa.1056.1.S1_at	Medtr7g078700.4	441	1	460
Msa.1056.1.S1_at	Medtr7g078700.5	441	1	460
Msa.1056.1.S1_at	Medtr7g078700.3	441	1	460
Msa.1056.1.S1_at	Medtr7g078700.2	441	1	460
Msa.1060.1.S1_at	Medtr2g045280.1	401	76	415
Msa.1063.1.S1_at	Medtr3g073080.1	445	2735	3292
Msa.1063.1.S1_at	Medtr3g073080.4	445	832	1389
Msa.1063.1.S1_at	Medtr3g073080.5	445	2946	3503
Msa.1063.1.S1_at	Medtr3g073080.2	445	2942	3499
Msa.1063.1.S1_at	Medtr3g073080.3	445	3040	3597
Msa.1064.1.S1_at	Medtr1g058250.1	356	94	430
Msa.1065.1.S1_at	Medtr4g103520.1	360	1235	1756
Msa.1065.1.S1_at	Medtr4g103520.2	360	1306	1827
Msa.1068.1.S1_at	Medtr3g118290.1	450	1280	1745
Msa.1071.1.S1_at	Medtr2g081810.1	358	142	651
Msa.1072.1.S1_at	Medtr1g094000.1	356	921	1164
Msa.1078.1.S1_at	Medtr7g080060.1	404	98	737
Msa.1079.1.S1_at	Medtr6g090280.3	349	1018	1540
Msa.1079.1.S1_at	Medtr6g090280.2	349	1051	1573
Msa.1079.1.S1_at	Medtr6g090280.1	349	1018	1540
Msa.1080.1.S1_at	Medtr7g105830.1	351	201	742
Msa.1081.1.S1_at	Medtr7g087530.1	358	79	541
Msa.1083.1.S1_at	Medtr3g449930.1	487	696	1066
Msa.1083.1.S1_at	Medtr3g449930.2	487	588	958
Msa.1086.1.S1_at	Medtr1g110930.1	448	86	532
Msa.1088.1.S1_at	Medtr1g083330.1	359	87	575
Msa.1093.1.S1_at	Medtr1g056490.1	448	1040	1454
Msa.1095.1.S1_at	Medtr3g435460.1	399	107	620
Msa.1097.1.S1_at	Medtr2g095420.1	404	1909	2345
Msa.1097.1.S1_at	Medtr2g095420.3	404	1912	2348
Msa.1097.1.S1_at	Medtr2g095420.5	404	1909	2345
Msa.1098.1.S1_at	Medtr8g105250.1	490	594	1022
Msa.1104.1.S1_at	Medtr1g058100.4	354	120	819
Msa.1104.1.S1_at	Medtr1g058100.1	354	152	654
Msa.1104.1.S1_at	Medtr1g058100.3	354	120	628
Msa.1105.1.S1_at	Medtr2g018290.1	358	66	617
Msa.1108.1.S1_at	Medtr1g112250.1	445	705	1117
Msa.1108.1.S1_at	Medtr1g112250.2	445	763	1175
Msa.1110.1.S1_at	Medtr5g096150.1	396	268	720
Msa.1113.1.S1_at	Medtr4g115300.1	356	111	650
Msa.1114.1.S1_at	Medtr1g034360.1	398	256	601
Msa.1116.1.S1_at	Medtr8g102460.3	401	139	683
Msa.1116.1.S1_at	Medtr8g102460.1	401	230	774
Msa.1116.1.S1_at	Medtr8g102460.2	401	139	746
Msa.1120.1.S1_at	Medtr2g103150.1	402	37	573
Msa.1125.1.S1_at	Medtr5g082830.1	356	863	1397
Msa.1132.1.S1_at	Medtr3g024510.1	403	180	547
Msa.1136.1.S1_at	Medtr5g015590.8	450	2993	3400
Msa.1136.1.S1_at	Medtr5g015590.6	360	3124	3401
Msa.1136.1.S1_at	Medtr5g015590.2	360	2996	3273
Msa.1136.1.S1_at	Medtr5g015590.7	360	3124	3401
Msa.1136.1.S1_at	Medtr5g015590.3	360	2739	3016
Msa.1136.1.S1_at	Medtr5g015590.5	360	2993	3270
Msa.1136.1.S1_at	Medtr5g015590.1	360	2739	3016
Msa.1136.1.S1_at	Medtr5g015590.4	360	2870	3147
Msa.1150.1.S1_at	Medtr4g131390.1	358	287	745
Msa.1157.1.S1_at	Medtr5g081150.1	493	161	709
Msa.1157.1.S1_at	Medtr5g081150.4	493	161	709
Msa.1157.1.S1_at	Medtr5g081150.2	493	161	709
Msa.1157.1.S1_at	Medtr5g081150.5	493	161	709
Msa.1157.1.S1_at	Medtr5g081150.3	493	161	709
Msa.1157.1.S1_at	Medtr5g081150.6	493	161	709
Msa.1158.1.S1_at	Medtr8g093730.1	354	1282	1699
Msa.1167.1.S1_at	Medtr7g053330.1	447	662	1137
Msa.1170.1.S1_at	Medtr7g102700.2	445	94	448
Msa.1170.1.S1_at	Medtr7g102700.4	445	86	512
Msa.1170.1.S1_at	Medtr7g102700.3	445	71	497
Msa.1170.1.S1_at	Medtr7g102700.1	445	86	440
Msa.1172.1.S1_at	Medtr3g118150.1	400	203	657
Msa.1177.1.S1_at	Medtr1g018510.1	401	838	1354
Msa.1178.1.S1_at	Medtr3g117270.3	360	199	642
Msa.1178.1.S1_at	Medtr3g117270.1	360	199	642
Msa.1179.1.S1_at	Medtr4g023500.1	355	90	547
Msa.1179.1.S1_at	Medtr4g023500.3	355	90	547
Msa.1182.1.S1_at	Medtr8g028120.1	358	754	1157
Msa.1184.1.S1_at	Medtr8g027760.2	401	944	1344
Msa.1184.1.S1_at	Medtr8g027760.1	401	944	1344
Msa.1185.1.S1_at	Medtr8g075240.1	401	689	1135
Msa.1191.1.S1_at	Medtr4g092640.1	352	1580	2005
Msa.1192.1.S1_at	Medtr1g098390.1	400	444	897
Msa.1194.1.S1_at	Medtr1g086810.1	357	247	770
Msa.1196.1.S1_at	Medtr1g093630.1	399	690	1218
Msa.1197.1.S1_at	Medtr3g070100.1	401	191	696
Msa.1199.1.S1_at	Medtr3g111680.1	447	116	619
Msa.1200.1.S1_at	Medtr4g094730.1	399	434	802
Msa.1200.1.S1_at	Medtr4g094730.2	399	254	622
Msa.1201.1.S1_at	Medtr3g109330.1	356	939	1411
Msa.1201.1.S1_at	Medtr3g109330.3	356	939	1411
Msa.1202.1.S1_at	Medtr4g088170.1	357	1530	1816
Msa.1207.1.S1_at	Medtr4g102870.1	405	673	1059
Msa.1208.1.S1_at	Medtr2g026685.1	399	195	552
Msa.1208.1.S1_at	Medtr2g026685.3	399	85	565
Msa.1208.1.S1_at	Medtr2g026685.2	399	195	549
Msa.1210.1.S1_at	Medtr4g128020.1	358	1267	1587
Msa.1211.1.S1_at	Medtr3g112490.1	449	172	657
Msa.1212.1.S1_at	Medtr8g099885.1	448	1205	1710
Msa.1218.1.S1_at	Medtr4g055270.1	358	11	421
Msa.1219.1.S1_at	Medtr7g086300.2	358	1239	1512
Msa.1219.1.S1_at	Medtr7g086300.1	358	1207	1480
Msa.1226.1.S1_at	Medtr8g020770.1	356	163	631
Msa.1231.1.S1_at	Medtr6g016640.1	400	575	1046
Msa.1231.1.S1_at	Medtr6g016635.1	399	640	1111
Msa.1231.1.S1_at	Medtr6g016650.1	354	573	1044
Msa.1232.1.S1_at	Medtr7g080320.1	356	42	491
Msa.1237.1.S1_s_at	Medtr2g070150.1	493	11	129
Msa.1237.1.S1_s_at	Medtr2g070180.1	450	66	103
Msa.1239.1.S1_at	Medtr8g027985.1	401	1842	2286
Msa.1242.1.S1_at	Medtr8g023140.1	357	176	622
Msa.1243.1.S1_at	Medtr4g009880.1	355	787	1044
Msa.1244.1.S1_at	Medtr3g461520.3	398	4567	4945
Msa.1244.1.S1_at	Medtr3g461520.1	398	4567	4945
Msa.1244.1.S1_at	Medtr3g461500.1	356	4501	4879
Msa.1244.1.S1_at	Medtr3g461520.2	355	4567	4942
Msa.1246.1.S1_at	Medtr7g103020.1	355	107	449
Msa.1249.1.S1_at	Medtr1g025430.1	358	1320	1508
Msa.1252.1.S1_at	Medtr4g012740.1	392	216	1543
Msa.1254.1.S1_at	Medtr4g011230.1	400	54	355
Msa.1258.1.S1_at	Medtr2g082340.1	397	24	446
Msa.1262.1.S1_at	Medtr5g081910.2	398	906	1287
Msa.1262.1.S1_at	Medtr5g081910.1	398	938	1319
Msa.1266.1.S1_at	Medtr5g082620.1	400	213	668
Msa.1267.1.S1_at	Medtr4g129270.1	444	2467	2839
Msa.1270.1.S1_at	Medtr5g079880.1	356	245	574
Msa.1272.1.S1_at	Medtr8g031190.2	399	1	444
Msa.1273.1.S1_at	Medtr7g116870.1	397	219	659
Msa.1275.1.S1_at	Medtr2g042700.2	446	88	411
Msa.1275.1.S1_at	Medtr2g042700.1	446	102	425
Msa.1276.1.S1_at	Medtr7g108930.1	399	1900	2378
Msa.1277.1.S1_s_at	Medtr2g089970.1	353	79	245
Msa.1282.1.S1_at	Medtr8g076160.1	396	102	526
Msa.1285.1.S1_at	Medtr8g075240.1	399	188	622
Msa.1288.1.S1_at	Medtr2g028950.3	356	1877	2632
Msa.1288.1.S1_at	Medtr2g028950.1	356	1856	2415
Msa.1288.1.S1_at	Medtr2g028950.2	356	1856	2472
Msa.1292.1.S1_at	Medtr4g032680.3	356	127	469
Msa.1292.1.S1_at	Medtr4g032680.4	356	127	469
Msa.1292.1.S1_at	Medtr4g032680.1	356	127	469
Msa.1292.1.S1_at	Medtr4g032680.2	356	127	469
Msa.1294.1.S1_at	Medtr2g097350.1	356	599	1096
Msa.1294.1.S1_at	Medtr2g097390.1	354	645	1142
Msa.1294.1.S1_at	Medtr2g097310.1	350	667	1149
Msa.1300.1.S1_at	Medtr2g072190.1	402	607	1158
Msa.1300.1.S1_at	Medtr2g072190.2	402	581	1127
Msa.1302.1.S1_at	Medtr4g015080.1	402	383	895
Msa.1304.1.S1_at	Medtr2g060830.1	403	248	683
Msa.1304.1.S1_at	Medtr2g060830.2	403	260	695
Msa.1305.1.S1_at	Medtr4g119410.1	405	495	1057
Msa.1306.1.S1_at	Medtr3g105780.1	445	200	633
Msa.1309.1.S1_at	Medtr3g071550.1	354	24	542
Msa.1310.1.S1_at	Medtr1g094870.1	447	44	638
Msa.1311.1.S1_at	Medtr4g134090.1	402	727	1217
Msa.1311.1.S1_at	Medtr4g134090.2	402	924	1414
Msa.1312.1.S1_at	Medtr7g076940.1	398	427	837
Msa.1314.1.S1_at	Medtr4g083170.1	354	174	548
Msa.1315.1.S1_at	Medtr7g011060.2	441	89	465
Msa.1315.1.S1_at	Medtr7g011060.1	441	165	541
Msa.1319.1.S1_at	Medtr2g014030.1	358	48	569
Msa.1324.1.S1_at	Medtr3g024190.1	398	40	340
Msa.1324.1.S1_at	Medtr3g024170.1	398	57	357
Msa.1325.1.S1_at	Medtr7g052690.1	440	6	402
Msa.1331.1.S1_at	Medtr3g081180.3	405	1055	1438
Msa.1331.1.S1_at	Medtr3g081180.2	405	1082	1465
Msa.1331.1.S1_at	Medtr3g081180.1	405	1199	1582
Msa.1334.1.S1_at	Medtr5g062310.5	439	1696	2211
Msa.1334.1.S1_at	Medtr5g062310.2	439	582	1097
Msa.1334.1.S1_at	Medtr5g062310.4	439	605	1120
Msa.1334.1.S1_at	Medtr5g062310.1	439	471	986
Msa.1334.1.S1_at	Medtr5g062310.3	439	716	1231
Msa.1336.1.S1_at	Medtr2g103960.1	405	2202	2620
Msa.1340.1.S1_at	Medtr1g069460.1	401	1500	1897
Msa.1342.1.S1_at	Medtr4g086510.1	353	131	700
Msa.1343.1.S1_at	Medtr1g012830.2	441	286	820
Msa.1343.1.S1_at	Medtr1g012830.1	441	341	686
Msa.1345.1.S1_at	Medtr5g017640.1	354	3185	3687
Msa.1345.1.S1_at	Medtr5g017640.2	354	3448	3950
Msa.1349.1.S1_at	Medtr4g131180.1	358	904	1438
Msa.1349.1.S1_at	Medtr4g131180.2	358	904	1438
Msa.1350.1.S1_at	Medtr3g091380.1	398	1503	1885
Msa.1351.1.S1_at	Medtr1g045490.1	402	2374	2760
Msa.1357.1.S1_at	Medtr6g012500.1	356	624	849
Msa.1363.1.S1_at	Medtr8g070830.2	490	622	1073
Msa.1363.1.S1_at	Medtr8g070830.1	490	467	918
Msa.1365.1.S1_at	Medtr4g071130.1	487	1809	2306
Msa.1370.1.S1_at	Medtr3g077740.2	403	2600	2975
Msa.1370.1.S1_at	Medtr3g077740.1	403	2450	2825
Msa.1374.1.S1_at	Medtr2g009390.1	403	162	589
Msa.1376.1.S1_at	Medtr2g019260.1	401	2136	2713
Msa.1376.1.S1_at	Medtr2g019260.2	356	2096	3016
Msa.1380.1.S1_at	Medtr1g098280.1	354	277	718
Msa.1382.1.S1_at	Medtr8g083090.1	401	1265	1577
Msa.1383.1.S1_at	Medtr4g067150.1	353	164	677
Msa.1385.1.S1_at	Medtr4g130770.1	405	1850	2167
Msa.1386.1.S1_at	Medtr5g033300.1	358	65	630
Msa.1386.1.S1_at	Medtr5g033300.2	358	46	611
Msa.1388.1.S1_at	Medtr3g043750.1	357	60	375
Msa.1388.1.S1_at	Medtr3g043750.2	357	58	368
Msa.1389.1.S1_at	Medtr3g105550.1	396	1755	2076
Msa.1393.1.S1_at	Medtr7g083560.2	448	141	541
Msa.1393.1.S1_at	Medtr7g083560.1	448	171	571
Msa.1394.1.S1_at	Medtr8g015660.1	449	523	1030
Msa.1396.1.S1_at	Medtr2g054370.1	404	126	639
Msa.1397.1.S1_at	Medtr4g109140.1	354	413	895
Msa.1398.1.S1_at	Medtr7g057720.1	360	1235	1608
Msa.1398.1.S1_at	Medtr7g057720.2	360	1286	1659
Msa.1404.1.S1_at	Medtr2g102670.1	448	3363	3839
Msa.1404.1.S1_at	Medtr2g102640.1	397	4152	4628
Msa.1407.1.S1_at	Medtr1g062200.2	355	236	686
Msa.1407.1.S1_at	Medtr1g062200.1	355	236	686
Msa.1412.1.S1_at	Medtr7g117565.2	490	2029	2556
Msa.1412.1.S1_at	Medtr7g117565.3	490	2029	2556
Msa.1412.1.S1_at	Medtr7g117565.1	490	2029	2556
Msa.1413.1.S1_at	Medtr2g044070.1	352	1821	2242
Msa.1413.1.S1_at	Medtr2g044070.2	352	1850	2271
Msa.1415.1.S1_at	Medtr3g108770.1	442	117	545
Msa.1415.1.S1_at	Medtr3g108770.2	442	197	625
Msa.1417.1.S1_at	Medtr3g118110.2	358	282	780
Msa.1417.1.S1_at	Medtr3g118110.1	358	282	682
Msa.1420.1.S1_at	Medtr3g104470.1	401	1193	1710
Msa.1424.1.S1_at	Medtr5g015370.1	446	221	518
Msa.1425.1.S1_at	Medtr1g086940.1	360	860	1142
Msa.1430.1.S1_at	Medtr3g084980.1	358	294	651
Msa.1435.1.S1_at	Medtr3g103320.1	357	140	459
Msa.1439.1.S1_at	Medtr2g032130.1	402	824	1036
Msa.1441.1.S1_at	Medtr4g117370.1	404	608	834
Msa.1445.1.S1_at	Medtr5g010150.1	354	500	760
Msa.1445.1.S1_at	Medtr5g010150.2	354	500	760
Msa.1448.1.S1_at	Medtr8g092590.1	448	3059	3547
Msa.1450.1.S1_at	Medtr1g115325.1	356	119	536
Msa.1451.1.S1_at	Medtr7g066120.1	356	898	1313
Msa.1453.1.S1_at	Medtr5g007970.1	397	310	594
Msa.1465.1.S1_at	Medtr4g088090.1	401	119	580
Msa.1466.1.S1_at	Medtr2g013220.1	493	747	1122
Msa.1468.1.S1_at	Medtr8g106960.1	445	1302	1744
Msa.1468.1.S1_at	Medtr8g106960.2	445	1302	1744
Msa.1469.1.S1_at	Medtr7g100110.1	403	2669	3148
Msa.1475.1.S1_at	Medtr8g012380.1	399	110	503
Msa.1479.1.S1_at	Medtr8g088390.2	352	1814	2129
Msa.1479.1.S1_at	Medtr8g088390.1	352	1627	1942
Msa.1482.1.S1_at	Medtr3g109972.1	353	40	331
Msa.1489.1.S1_at	Medtr4g087680.1	356	98	400
Msa.1492.1.S1_at	Medtr4g079780.1	353	519	988
Msa.1496.1.S1_at	Medtr8g088730.1	360	1505	1865
Msa.1497.1.S1_at	Medtr1g032160.1	398	190	551
Msa.1498.1.S1_at	Medtr1g021110.1	400	1386	1832
Msa.1501.1.S1_at	Medtr4g051120.1	448	1292	1626
Msa.1503.1.S1_at	Medtr1g018760.1	448	166	500
Msa.1506.1.S1_at	Medtr4g088495.1	535	1319	2857
Msa.1506.1.S1_at	Medtr4g088495.2	535	432	1970
Msa.1509.1.S1_at	Medtr7g110000.1	404	819	1207
Msa.1511.1.S1_at	Medtr4g114550.1	450	597	1029
Msa.1513.1.S1_at	Medtr4g049830.1	355	143	548
Msa.1515.1.S1_at	Medtr8g098770.1	395	288	671
Msa.1520.1.S1_at	Medtr4g010180.1	359	382	745
Msa.1522.1.S1_at	Medtr5g015590.6	448	3430	3943
Msa.1522.1.S1_at	Medtr5g015590.2	448	3302	3815
Msa.1522.1.S1_at	Medtr5g015590.7	448	3430	4082
Msa.1522.1.S1_at	Medtr5g015590.3	448	3045	3697
Msa.1522.1.S1_at	Medtr5g015590.5	448	3299	3951
Msa.1522.1.S1_at	Medtr5g015590.8	448	3429	3942
Msa.1522.1.S1_at	Medtr5g015590.1	448	3045	3558
Msa.1522.1.S1_at	Medtr5g015590.4	448	3176	3689
Msa.1523.1.S1_at	Medtr2g018780.1	356	1407	1762
Msa.1526.1.S1_at	Medtr5g022310.1	356	521	891
Msa.1526.1.S1_at	Medtr5g022310.2	356	521	891
Msa.1527.1.S1_at	Medtr1g019930.1	492	687	938
Msa.1528.1.S1_at	Medtr3g087490.1	356	187	658
Msa.1530.1.S1_at	Medtr1g111090.1	399	287	663
Msa.1531.1.S1_at	Medtr1g008120.1	448	709	1158
Msa.1534.1.S1_at	Medtr4g053290.1	352	172	597
Msa.1535.1.S1_at	Medtr1g016780.1	483	1148	1582
Msa.1536.1.S1_at	Medtr8g099410.1	445	1103	1441
Msa.1536.1.S1_at	Medtr8g099410.2	445	1000	1338
Msa.1543.1.S1_at	Medtr4g085090.1	401	5064	5504
Msa.1544.1.S1_at	Medtr2g048340.1	354	134	539
Msa.1545.1.S1_at	Medtr8g058330.1	401	1307	1612
Msa.1547.1.S1_at	Medtr4g118640.1	402	129	566
Msa.1547.1.S1_at	Medtr4g118640.3	402	129	566
Msa.1548.1.S1_at	Medtr1g054670.1	404	212	641
Msa.1549.1.S1_at	Medtr3g114120.1	397	746	1175
Msa.1552.1.S1_at	Medtr5g026660.1	450	3531	3974
Msa.1553.1.S1_at	Medtr3g101660.2	394	2484	2829
Msa.1553.1.S1_at	Medtr3g101660.4	394	3271	3616
Msa.1553.1.S1_at	Medtr3g101660.3	394	2348	2693
Msa.1553.1.S1_at	Medtr3g101660.1	394	2215	2560
Msa.1554.1.S1_at	Medtr3g088525.1	352	119	497
Msa.1555.1.S1_at	Medtr5g087840.1	356	177	548
Msa.1555.1.S1_at	Medtr5g087840.3	356	177	548
Msa.1555.1.S1_at	Medtr5g087840.2	356	177	548
Msa.1556.1.S1_at	Medtr3g084740.1	494	1964	2377
Msa.1556.1.S1_at	Medtr3g084740.2	449	1876	2520
Msa.1566.1.S1_at	Medtr3g089005.1	351	133	551
Msa.1569.1.S1_at	Medtr5g030620.1	402	734	1168
Msa.1569.1.S1_at	Medtr5g430730.1	402	1142	1576
Msa.1571.1.S1_at	Medtr1g104780.1	352	43	517
Msa.1579.1.S1_at	Medtr8g076770.1	396	1216	1561
Msa.1580.1.S1_at	Medtr1g053960.1	348	145	443
Msa.1588.1.S1_at	Medtr1g088420.1	442	1018	1440
Msa.1589.1.S1_at	Medtr8g107110.1	357	145	646
Msa.1590.1.S1_at	Medtr1g019430.1	446	131	539
Msa.1593.1.S1_at	Medtr2g081090.1	404	149	628
Msa.1593.1.S1_at	Medtr2g081090.2	404	141	792
Msa.1594.1.S1_at	Medtr7g116520.1	405	659	695
Msa.1594.1.S1_s_at	Medtr7g116520.1	401	1	407
Msa.1609.1.S1_at	Medtr2g008610.1	494	630	701
Msa.1611.1.S1_at	Medtr1g011880.1	446	154	531
Msa.1611.1.S1_at	Medtr1g011880.2	356	76	359
Msa.1619.1.S1_at	Medtr8g005175.1	397	432	1002
Msa.1619.1.S1_at	Medtr8g005175.2	397	150	1213
Msa.1622.1.S1_at	Medtr4g085590.1	443	513	1054
Msa.1631.1.S1_at	Medtr7g405830.1	448	745	1146
Msa.1631.1.S1_at	Medtr7g405830.2	448	840	1241
Msa.1638.1.S1_at	Medtr7g108955.1	354	408	964
Msa.1643.1.S1_at	Medtr5g030920.2	403	2841	3414
Msa.1643.1.S1_at	Medtr5g030920.1	403	2960	3533
Msa.1647.1.S1_at	Medtr1g048000.1	491	1562	2092
Msa.1648.1.S1_at	Medtr7g089120.2	356	1237	1780
Msa.1648.1.S1_at	Medtr7g089120.3	356	1245	1788
Msa.1648.1.S1_at	Medtr7g089120.1	356	1229	1772
Msa.1661.1.S1_s_at	Medtr7g007220.1	448	19	496
Msa.1661.1.S1_s_at	Medtr7g007210.1	403	19	492
Msa.1661.1.S1_s_at	Medtr7g007200.1	356	129	606
Msa.1661.1.S1_s_at	Medtr7g007120.3	356	115	592
Msa.1665.1.S1_at	Medtr4g081130.1	356	62	606
Msa.1666.1.S1_at	Medtr8g469150.2	491	19	595
Msa.1666.1.S1_at	Medtr8g469150.1	446	142	664
Msa.1670.1.S1_at	Medtr4g014540.1	359	576	1037
Msa.1689.1.S1_at	Medtr2g018780.1	349	2299	2871
Msa.1690.1.S1_at	Medtr4g066170.1	399	2267	2738
Msa.1692.1.S1_at	Medtr5g059210.1	354	150	434
Msa.1694.1.S1_at	Medtr8g070770.1	445	76	486
Msa.1696.1.S1_at	Medtr4g128930.1	355	43	565
Msa.1697.1.S1_at	Medtr3g100620.1	403	113	589
Msa.1699.1.S1_at	Medtr7g090330.1	353	124	584
Msa.1702.1.S1_at	Medtr5g076590.1	398	101	578
Msa.1707.1.S1_at	Medtr4g132110.1	355	385	789
Msa.1714.1.S1_at	Medtr3g466760.1	358	266	508
Msa.1716.1.S1_at	Medtr4g094662.1	399	1847	2310
Msa.1717.1.S1_at	Medtr4g009740.1	397	3669	4191
Msa.1717.1.S1_at	Medtr4g009740.3	397	3643	4165
Msa.1717.1.S1_at	Medtr4g009740.2	397	3603	4125
Msa.1724.1.S1_at	Medtr3g115930.1	357	451	979
Msa.1730.1.S1_at	Medtr4g051410.1	358	534	992
Msa.1733.1.S1_at	Medtr6g071070.1	402	931	1531
Msa.1736.1.S1_at	Medtr2g034480.1	403	804	1257
Msa.1739.1.S1_at	Medtr3g073140.1	399	128	616
Msa.1741.1.S1_at	Medtr8g073770.1	401	97	546
Msa.1741.1.S1_at	Medtr8g073850.1	393	2	511
Msa.1750.1.S1_at	Medtr1g017380.1	491	869	1258
Msa.1750.1.S1_at	Medtr1g017390.1	489	869	1258
Msa.1752.1.S1_s_at	Medtr4g097670.1	356	148	534
Msa.1752.1.S1_s_at	Medtr4g097700.1	356	209	595
Msa.1752.1.S1_s_at	Medtr4g097640.1	356	98	484
Msa.1754.1.S1_at	Medtr4g068520.1	396	280	712
Msa.1759.1.S1_at	Medtr0167s0060.2	403	214	646
